iter	Passed	Remaining
0	72	72289
1	84	42408
2	96	32032
3	107	26837
4	119	23722
5	130	21700
6	142	20255
7	153	19047
8	164	18150
9	176	17430
10	186	16747
11	196	16177
12	206	15679
13	216	15247
14	227	14940
15	237	14636
16	248	14352
17	259	14131
18	269	13901
19	279	13675
20	289	13505
21	299	13330
22	310	13175
23	320	13040
24	331	12920
25	341	12775
26	351	12676
27	362	12574
28	374	12525
29	384	12428
30	394	12330
31	404	12236
32	414	12149
33	424	12070
34	434	11985
35	445	11930
36	455	11867
37	466	11813
38	476	11747
39	486	11680
40	496	11621
41	507	11568
42	517	11510
43	526	11444
44	537	11402
45	546	11342
46	557	11298
47	567	11263
48	578	11234
49	588	11190
50	645	12005
51	662	12079
52	677	12103
53	689	12075
54	701	12054
55	713	12020
56	723	11972
57	734	11921
58	745	11885
59	758	11875
60	769	11839
61	832	12588
62	846	12593
63	869	12712
64	879	12652
65	889	12589
66	899	12526
67	909	12461
68	920	12417
69	930	12368
70	941	12319
71	952	12271
72	963	12240
73	975	12207
74	986	12169
75	998	12138
76	1009	12099
77	1019	12056
78	1032	12036
79	1046	12031
80	1057	12003
81	1069	11974
82	1080	11938
83	1091	11904
84	1102	11869
85	1113	11838
86	1124	11803
87	1135	11769
88	1146	11735
89	1157	11702
90	1169	11680
91	1181	11661
92	1191	11623
93	1202	11591
94	1214	11568
95	1225	11537
96	1235	11505
97	1246	11476
98	1257	11447
99	1269	11423
100	1280	11399
101	1291	11368
102	1303	11350
103	1316	11342
104	1328	11325
105	1340	11302
106	1351	11282
107	1362	11254
108	1373	11230
109	1385	11209
110	1397	11194
111	1410	11182
112	1422	11168
113	1435	11156
114	1448	11144
115	1461	11139
116	1474	11131
117	1489	11131
118	1502	11123
119	1516	11121
120	1530	11120
121	1545	11120
122	1557	11106
123	1569	11088
124	1581	11073
125	1593	11056
126	1605	11039
127	1616	11012
128	1632	11024
129	1646	11021
130	1660	11014
131	1672	11000
132	1687	11003
133	1700	10987
134	1711	10967
135	1724	10954
136	1739	10955
137	1751	10937
138	1761	10909
139	1772	10886
140	1783	10866
141	1793	10838
142	1804	10816
143	1815	10792
144	1826	10770
145	1838	10751
146	1849	10731
147	1861	10714
148	1872	10695
149	1883	10674
150	1894	10652
151	1905	10629
152	1916	10609
153	1928	10596
154	1940	10580
155	1951	10560
156	1965	10553
157	1977	10540
158	1992	10540
159	2005	10530
